,1,2,3,4,5,6,7,Total
BOALEMO,0.964286,0.011905,0.000000,0.023810,0.000000,0.000000,0.000000,84
BOGOR,0.919355,0.012097,0.024194,0.020161,0.000000,0.010081,0.014113,496
BOJONEGORO,0.948837,0.004651,0.006977,0.013953,0.000000,0.020930,0.004651,430
BOLAANG MONGONDOW,0.895349,0.040698,0.000000,0.023256,0.000000,0.034884,0.005814,172
BOLAANG MONGONDOW SELATAN,0.953846,0.000000,0.030769,0.015385,0.000000,0.000000,0.000000,65
BOLAANG MONGONDOW TIMUR,0.882353,0.000000,0.019608,0.039216,0.000000,0.058824,0.000000,51
BOLAANG MONGONDOW UTARA,0.913043,0.000000,0.000000,0.021739,0.000000,0.065217,0.000000,92
BOMBANA,0.460432,0.000000,0.028777,0.258993,0.007194,0.215827,0.028777,139
BONDOWOSO,0.963470,0.009132,0.013699,0.009132,0.000000,0.004566,0.000000,219
BONE,0.973118,0.000000,0.000000,0.021505,0.000000,0.005376,0.000000,372
BONE BOLANGO,0.963636,0.000000,0.000000,0.012121,0.000000,0.024242,0.000000,165
BONTANG,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15
BOVEN DIGOEL,0.990909,0.000000,0.009091,0.000000,0.000000,0.000000,0.000000,110
BOYOLALI,0.943820,0.003745,0.000000,0.022472,0.000000,0.029963,0.000000,267
BREBES,0.754209,0.003367,0.003367,0.107744,0.003367,0.127946,0.000000,297
BUKITTINGGI,0.625000,0.000000,0.000000,0.208333,0.000000,0.166667,0.000000,24
BULELENG,0.925676,0.000000,0.013514,0.013514,0.000000,0.013514,0.033784,148
BULUKUMBA,0.896825,0.000000,0.000000,0.015873,0.000000,0.087302,0.000000,126
BULUNGAN,0.987654,0.000000,0.000000,0.012346,0.000000,0.000000,0.000000,81
BUNGO,0.904110,0.034247,0.000000,0.013699,0.000000,0.047945,0.000000,146
BUOL,0.990741,0.000000,0.000000,0.009259,0.000000,0.000000,0.000000,108
BURU,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82
BURU SELATAN,0.981818,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,55
BUTON,0.913043,0.004831,0.004831,0.019324,0.000000,0.038647,0.019324,207
