District,School Scoring
NAGAN RAYA,712
NAGEKEO,595
NATUNA,396
NDUGA,32
NGADA,614
NGANJUK,3054
NGAWI,2600
NIAS,459
NIAS BARAT,436
NIAS SELATAN,1354
NIAS UTARA,551
NUNUKAN,561
OGAN ILIR,1307
OGAN KOMERING ILIR,1985
OGAN KOMERING ULU,931
OGAN KOMERING ULU SELATAN,1066
OGAN KOMERING ULU TIMUR,1995
PACITAN,1964
PADANG,2046
PADANG LAWAS,755
PADANG LAWAS UTARA,898
PADANG PANJANG,246
PADANGSIDIMPUAN,626
PAGAR ALAM,345
PAKPAK BHARAT,198
PALANGKA RAYA,840
PALEMBANG,2830
PALOPO,544
PALU,1019
PAMEKASAN,3682
PANDEGLANG,4065
PANGKAJENE DAN KEPULAUAN,1178
PANGKAL PINANG,424
PANIAI,185
PARE-PARE,542
PARIAMAN,355
PARIGI MOUTONG,1681
PASER,1000
PASURUAN,5052
PATI,3582
PAYAKUMBUH,419
PEGUNUNGAN BINTANG,122
PEKALONGAN,2998
PEKANBARU,1578
PELALAWAN,941
PEMALANG,2805
PEMATANG SIANTAR,938
PENAJAM PASER UTARA,457
PESAWARAN,1377
PIDIE,1305
PIDIE JAYA,464
PINRANG,1261
POHUWATO,601
POLEWALI MANDAR,1450
PONOROGO,2992
PONTIANAK,2101
POSO,1035
PRABUMULIH,412
PRINGSEWU,1265
PROBOLINGGO,5286
PULANG PISAU,767
PULAU MOROTAI,283
PUNCAK,66
PUNCAK JAYA,101
PURBALINGGA,2360
PURWAKARTA,1983
PURWOREJO,2301
RAJA AMPAT,339
REJANG LEBONG,767
REMBANG,1750
ROKAN HILIR,2047
ROKAN HULU,1524
ROTE NDAO,537
S I A K,1165
SABANG,143
SABU RAIJUA,232
SALATIGA,623
SAMARINDA,1511
SAMBAS,1598
SAMOSIR,646
SAMPANG,3637
SANGGAU,1597
SARMI,174
SAROLANGUN,1125
SAWAH LUNTO,250
SEKADAU,734
SELAYAR,693
SELUMA,694
