District,School Scoring,,
KARANGANYAR,2285.000000,9.000000,
KARAWANG,3984.000000,10.000000,
KARIMUN,624.000000,4.000000,
KARO,1105.000000,6.000000,
KATINGAN,864.000000,5.000000,
KAUR,503.000000,3.000000,
KAYONG UTARA,395.000000,2.000000,
KEBUMEN,3639.000000,10.000000,
KEDIRI,4564.000000,10.000000,
KEEROM,246.000000,1.000000,
KENDAL,2566.000000,9.000000,
KENDARI,770.000000,4.000000,
KEPAHIANG,423.000000,2.000000,
KEPULAUAN ANAMBAS,227.000000,1.000000,
KEPULAUAN ARU,463.000000,3.000000,
KEPULAUAN MENTAWAI,377.000000,2.000000,
KEPULAUAN MERANTI,866.000000,5.000000,
KEPULAUAN SANGIHE,850.000000,5.000000,
KEPULAUAN SERIBU,99.000000,1.000000,
KEPULAUAN SULA,831.000000,5.000000,
KEPULAUAN TALAUD,557.000000,3.000000,
KEPULAUAN YAPEN,370.000000,2.000000,
KERINCI,921.000000,5.000000,
KETAPANG,1687.000000,8.000000,
KLATEN,3459.000000,9.000000,
KLUNGKUNG,514.000000,3.000000,
KOLAKA,1508.000000,7.000000,
KOLAKA UTARA,533.000000,3.000000,
KONAWE,1316.000000,7.000000,
KONAWE SELATAN,1291.000000,7.000000,
KONAWE UTARA,389.000000,2.000000,
KOTA BARU,1109.000000,6.000000,
KOTAMOBAGU,346.000000,2.000000,
KOTAWARINGIN BARAT,810.000000,4.000000,
KOTAWARINGIN TIMUR,1337.000000,7.000000,
KUANTAN SINGINGI,1080.000000,6.000000,
KUBU RAYA,1835.000000,8.000000,
KUDUS,2212.000000,8.000000,
KULON PROGO,1600.000000,8.000000,
KUNINGAN,2684.000000,9.000000,
KUPANG,2208.000000,8.000000,
KUTAI BARAT,964.000000,5.000000,
KUTAI KARTANEGARA,2267.000000,9.000000,
KUTAI TIMUR,928.000000,5.000000,
LABUHAN BATU,1424.000000,7.000000,
LABUHAN BATU SELATAN,966.000000,5.000000,
LABUHAN BATU UTARA,1175.000000,6.000000,
LAHAT,1290.000000,7.000000,
LAMANDAU,401.000000,2.000000,
LAMONGAN,5296.000000,10.000000,
LAMPUNG BARAT,1412.000000,7.000000,
LAMPUNG SELATAN,2670.000000,9.000000,
LAMPUNG TENGAH,3462.000000,9.000000,
LAMPUNG TIMUR,2985.000000,9.000000,
LAMPUNG UTARA,1919.000000,8.000000,
LANDAK,1442.000000,7.000000,
LANGKAT,3051.000000,9.000000,
LANGSA,412.000000,2.000000,
LANNY JAYA,179.000000,1.000000,
LEBAK,3855.000000,10.000000,
LEBONG,366.000000,2.000000,
LEMBATA,665.000000,4.000000,
LHOKSEUMAWE,451.000000,2.000000,
LINGGA,460.000000,3.000000,
LOMBOK BARAT,1991.000000,8.000000,
LOMBOK TENGAH,3859.000000,10.000000,
LOMBOK TIMUR,4161.000000,10.000000,
LOMBOK UTARA,737.000000,4.000000,
LUBUKLINGGAU,550.000000,3.000000,
LUMAJANG,2839.000000,9.000000,
LUWU,1282.000000,7.000000,
LUWU TIMUR,821.000000,5.000000,
LUWU UTARA,1107.000000,6.000000,
MADIUN,2504.000000,9.000000,
MAGELANG,4093.000000,10.000000,
MAGETAN,2100.000000,8.000000,
MAJALENGKA,3108.000000,9.000000,
MAJENE,829.000000,5.000000,
MAKASSAR,3376.000000,9.000000,
MALANG,8602.000000,10.000000,
MALINAU,370.000000,2.000000,
MALUKU BARAT DAYA,453.000000,2.000000,
MALUKU TENGAH,1691.000000,8.000000,
MALUKU TENGGARA,548.000000,3.000000,
MALUKU TENGGARA BARAT,548.000000,3.000000,
MAMASA,974.000000,5.000000,
MAMBERAMO RAYA,72.000000,1.000000,
MAMBERAMO TENGAH,70.000000,1.000000,
MAMUJU,1691.000000,8.000000,
MAMUJU UTARA,580.000000,3.000000,
MANADO,1502.000000,7.000000,
MANDAILING NATAL,1465.000000,7.000000,
MANGGARAI,794.000000,4.000000,
MANGGARAI BARAT,745.000000,4.000000,
MANGGARAI TIMUR,865.000000,5.000000,
MANOKWARI,818.000000,5.000000,
MAPPI,220.000000,1.000000,
MAROS,1128.000000,6.000000,
MATARAM,986.000000,6.000000,
MAYBRAT,156.000000,1.000000,
MEDAN,5253.000000,10.000000,
MELAWI,809.000000,4.000000,
MERANGIN,1373.000000,7.000000,
MERAUKE,830.000000,5.000000,
MESUJI,611.000000,4.000000,
METRO,508.000000,3.000000,
MIMIKA,424.000000,2.000000,
MINAHASA,1444.000000,7.000000,
MINAHASA SELATAN,1037.000000,6.000000,
MINAHASA TENGGARA,442.000000,2.000000,
MINAHASA UTARA,897.000000,5.000000,
MOJOKERTO,3351.000000,9.000000,
MOROWALI,1127.000000,6.000000,
MUARA ENIM,1901.000000,8.000000,
MUARO JAMBI,1125.000000,6.000000,
MUKOMUKO,635.000000,4.000000,
MUNA,1383.000000,7.000000,
MURUNG RAYA,646.000000,4.000000,
MUSI BANYUASIN,1666.000000,8.000000,
MUSI RAWAS,1759.000000,8.000000,
NABIRE,530.000000,3.000000,
NAGAN RAYA,712.000000,4.000000,
NAGEKEO,595.000000,3.000000,
NATUNA,396.000000,2.000000,
NDUGA,32.000000,1.000000,
NGADA,614.000000,4.000000,
NGANJUK,3054.000000,9.000000,
NGAWI,2600.000000,9.000000,
NIAS,459.000000,2.000000,
NIAS BARAT,436.000000,2.000000,
NIAS SELATAN,1354.000000,7.000000,
NIAS UTARA,551.000000,3.000000,
NUNUKAN,561.000000,3.000000,
OGAN ILIR,1307.000000,7.000000,
OGAN KOMERING ILIR,1985.000000,8.000000,
OGAN KOMERING ULU,931.000000,5.000000,
OGAN KOMERING ULU SELATAN,1066.000000,6.000000,
OGAN KOMERING ULU TIMUR,1995.000000,8.000000,
PACITAN,1964.000000,8.000000,
PADANG,2046.000000,8.000000,
PADANG LAWAS,755.000000,4.000000,
PADANG LAWAS UTARA,898.000000,5.000000,
PADANG PANJANG,246.000000,1.000000,
PADANGSIDIMPUAN,626.000000,4.000000,
PAGAR ALAM,345.000000,2.000000,
PAKPAK BHARAT,198.000000,1.000000,
PALANGKA RAYA,840.000000,5.000000,
PALEMBANG,2830.000000,9.000000,
PALOPO,544.000000,3.000000,
PALU,1019.000000,6.000000,
PAMEKASAN,3682.000000,10.000000,
PANDEGLANG,4065.000000,10.000000,
PANGKAJENE DAN KEPULAUAN,1178.000000,6.000000,
PANGKAL PINANG,424.000000,2.000000,
PANIAI,185.000000,1.000000,
PARE-PARE,542.000000,3.000000,
