,1,2,3,4,5,6,7,Total
BOALEMO,0.976190,0.000000,0.000000,0.011905,0.000000,0.011905,0.000000,84
BOGOR,0.526210,0.006048,0.127016,0.108871,0.006048,0.179435,0.046371,496
BOJONEGORO,0.932558,0.002326,0.004651,0.018605,0.000000,0.041860,0.000000,430
BOLAANG MONGONDOW,0.994186,0.000000,0.000000,0.005814,0.000000,0.000000,0.000000,172
BOLAANG MONGONDOW SELATAN,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65
BOLAANG MONGONDOW TIMUR,0.980392,0.019608,0.000000,0.000000,0.000000,0.000000,0.000000,51
BOLAANG MONGONDOW UTARA,0.989130,0.000000,0.000000,0.010870,0.000000,0.000000,0.000000,92
BOMBANA,0.935252,0.014388,0.000000,0.043165,0.000000,0.007194,0.000000,139
BONDOWOSO,0.954338,0.000000,0.000000,0.013699,0.000000,0.027397,0.004566,219
BONE,0.962366,0.000000,0.002688,0.010753,0.000000,0.024194,0.000000,372
BONE BOLANGO,0.909091,0.036364,0.000000,0.000000,0.000000,0.054545,0.000000,165
BONTANG,0.133333,0.066667,0.400000,0.266667,0.000000,0.066667,0.066667,15
BOVEN DIGOEL,0.927273,0.000000,0.000000,0.009091,0.000000,0.063636,0.000000,110
BOYOLALI,0.966292,0.000000,0.003745,0.014981,0.000000,0.014981,0.000000,267
BREBES,0.959596,0.000000,0.000000,0.040404,0.000000,0.000000,0.000000,297
BUKITTINGGI,0.166667,0.000000,0.000000,0.583333,0.000000,0.250000,0.000000,24
BULELENG,0.763514,0.000000,0.000000,0.067568,0.000000,0.162162,0.006757,148
BULUKUMBA,0.904762,0.000000,0.023810,0.023810,0.000000,0.047619,0.000000,126
BULUNGAN,0.876543,0.049383,0.012346,0.000000,0.000000,0.024691,0.037037,81
BUNGO,0.917808,0.006849,0.000000,0.027397,0.000000,0.047945,0.000000,146
BUOL,0.916667,0.037037,0.000000,0.009259,0.000000,0.027778,0.009259,108
BURU,0.939024,0.012195,0.036585,0.012195,0.000000,0.000000,0.000000,82
BURU SELATAN,0.981818,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,55
BUTON,0.951691,0.004831,0.004831,0.004831,0.033816,0.000000,0.000000,207
BUTON UTARA,0.983051,0.000000,0.016949,0.000000,0.000000,0.000000,0.000000,59
CIAMIS,0.960340,0.000000,0.002833,0.025496,0.000000,0.011331,0.000000,353
CIANJUR,0.938889,0.005556,0.000000,0.022222,0.000000,0.030556,0.002778,360
CILACAP,0.926056,0.000000,0.007042,0.042254,0.000000,0.007042,0.017606,284
CILEGON,0.232558,0.000000,0.488372,0.186047,0.000000,0.069767,0.023256,43
CIMAHI,0.000000,0.000000,0.200000,0.200000,0.000000,0.533333,0.066667,15
CIREBON,0.609865,0.011211,0.073991,0.130045,0.006726,0.089686,0.078475,446
D U M A I,0.454545,0.000000,0.060606,0.212121,0.030303,0.242424,0.000000,33
DAIRI,0.976331,0.000000,0.000000,0.017751,0.000000,0.005917,0.000000,169
DEIYAI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30
DELI SERDANG,0.722365,0.020566,0.074550,0.041131,0.007712,0.120823,0.012853,389
DEMAK,0.879518,0.008032,0.076305,0.028112,0.004016,0.004016,0.000000,249
DENPASAR,0.116279,0.000000,0.000000,0.348837,0.000000,0.534884,0.000000,43
DEPOK,0.079365,0.000000,0.047619,0.111111,0.000000,0.555556,0.206349,63
DOGIYAI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79
DOMPU,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79
DONGGALA,0.926667,0.000000,0.013333,0.020000,0.000000,0.013333,0.026667,150
EMPAT LAWANG,0.993590,0.000000,0.000000,0.006410,0.000000,0.000000,0.000000,156
ENDE,0.962617,0.000000,0.004673,0.000000,0.000000,0.032710,0.000000,214
ENREKANG,0.976744,0.000000,0.000000,0.007752,0.000000,0.015504,0.000000,129
FAKFAK,0.935484,0.000000,0.000000,0.016129,0.000000,0.040323,0.008065,124
FLORES TIMUR,0.956000,0.000000,0.000000,0.012000,0.000000,0.032000,0.000000,250
GARUT,0.916473,0.002320,0.004640,0.032483,0.002320,0.027842,0.013921,431
GAYO LUES,0.972222,0.006944,0.000000,0.013889,0.000000,0.000000,0.006944,144
GIANYAR,0.700000,0.014286,0.171429,0.042857,0.000000,0.028571,0.042857,70
GORONTALO,0.772549,0.015686,0.003922,0.035294,0.023529,0.145098,0.003922,255
GORONTALO UTARA,0.983740,0.000000,0.000000,0.016260,0.000000,0.000000,0.000000,123
GOWA,0.892216,0.000000,0.000000,0.029940,0.000000,0.029940,0.047904,167
GRESIK,0.724719,0.000000,0.207865,0.056180,0.000000,0.002809,0.008427,356
GROBOGAN,0.971429,0.000000,0.000000,0.025000,0.000000,0.000000,0.003571,280
GUNUNG KIDUL,0.979167,0.000000,0.000000,0.020833,0.000000,0.000000,0.000000,144
GUNUNG MAS,0.872000,0.120000,0.000000,0.008000,0.000000,0.000000,0.000000,125
GUNUNGSITOLI,0.871287,0.009901,0.009901,0.019802,0.000000,0.059406,0.029703,101
HALMAHERA BARAT,0.938776,0.000000,0.000000,0.013605,0.000000,0.047619,0.000000,147
HALMAHERA SELATAN,0.992188,0.007813,0.000000,0.000000,0.000000,0.000000,0.000000,256
HALMAHERA TENGAH,0.964286,0.000000,0.000000,0.017857,0.000000,0.017857,0.000000,56
HALMAHERA TIMUR,0.974026,0.025974,0.000000,0.000000,0.000000,0.000000,0.000000,77
HALMAHERA UTARA,0.939086,0.015228,0.000000,0.010152,0.000000,0.020305,0.015228,197
HULU SUNGAI SELATAN,0.912162,0.000000,0.040541,0.020270,0.000000,0.027027,0.000000,148
HULU SUNGAI TENGAH,0.964497,0.000000,0.000000,0.023669,0.000000,0.011834,0.000000,169
HULU SUNGAI UTARA,0.894977,0.000000,0.027397,0.036530,0.000000,0.041096,0.000000,219
HUMBANG HASUNDUTAN,0.993506,0.000000,0.000000,0.006494,0.000000,0.000000,0.000000,154
INDRAGIRI HILIR,0.968750,0.000000,0.005208,0.010417,0.000000,0.015625,0.000000,192
INDRAGIRI HULU,0.850515,0.030928,0.036082,0.036082,0.000000,0.010309,0.036082,194
INDRAMAYU,0.949367,0.000000,0.000000,0.015823,0.003165,0.031646,0.000000,316
INTAN JAYA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37
JAKARTA BARAT,0.000000,0.000000,0.214286,0.589286,0.000000,0.160714,0.035714,56
JAKARTA PUSAT,0.000000,0.000000,0.022727,0.727273,0.000000,0.159091,0.090909,44
JAKARTA SELATAN,0.000000,0.000000,0.000000,0.184615,0.000000,0.661538,0.153846,65
JAKARTA TIMUR,0.000000,0.000000,0.123077,0.153846,0.000000,0.676923,0.046154,65
JAKARTA UTARA,0.032258,0.000000,0.225806,0.580645,0.000000,0.161290,0.000000,31
JAMBI,0.112903,0.016129,0.000000,0.338710,0.016129,0.516129,0.000000,62
JAYAPURA,0.852459,0.005464,0.005464,0.054645,0.000000,0.076503,0.005464,183
JAYAWIJAYA,0.968310,0.007042,0.000000,0.010563,0.000000,0.014085,0.000000,284
JEMBER,0.955645,0.000000,0.000000,0.024194,0.000000,0.020161,0.000000,248
JEMBRANA,0.862745,0.000000,0.039216,0.039216,0.000000,0.058824,0.000000,51
JENEPONTO,0.973451,0.000000,0.000000,0.017699,0.000000,0.008850,0.000000,113
JEPARA,0.654639,0.000000,0.252577,0.067010,0.000000,0.025773,0.000000,194
JOMBANG,0.882353,0.000000,0.013072,0.081699,0.000000,0.022876,0.000000,306
KAIMANA,0.976744,0.000000,0.000000,0.011628,0.000000,0.011628,0.000000,86
KAMPAR,0.946939,0.008163,0.000000,0.012245,0.000000,0.024490,0.008163,245
KAPUAS,0.931373,0.049020,0.000000,0.014706,0.004902,0.000000,0.000000,204
KAPUAS HULU,0.975177,0.010638,0.000000,0.000000,0.000000,0.010638,0.003546,282
KARANG ASEM,0.858974,0.000000,0.038462,0.051282,0.000000,0.051282,0.000000,78
KARANGANYAR,0.870056,0.000000,0.084746,0.011299,0.000000,0.033898,0.000000,177
KARAWANG,0.838188,0.006472,0.090615,0.038835,0.009709,0.006472,0.009709,309
KARIMUN,0.759259,0.037037,0.000000,0.074074,0.018519,0.092593,0.018519,54
KARO,0.966543,0.000000,0.000000,0.014870,0.000000,0.018587,0.000000,269
KATINGAN,0.844720,0.142857,0.000000,0.006211,0.000000,0.006211,0.000000,161
KAUR,0.984615,0.000000,0.005128,0.010256,0.000000,0.000000,0.000000,195
KAYONG UTARA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43
KEBUMEN,0.939130,0.000000,0.045652,0.004348,0.000000,0.010870,0.000000,460
KEDIRI,0.838462,0.000000,0.033333,0.082051,0.005128,0.041026,0.000000,390
KEEROM,0.983607,0.016393,0.000000,0.000000,0.000000,0.000000,0.000000,61
KENDAL,0.888112,0.000000,0.034965,0.045455,0.000000,0.031469,0.000000,286
KENDARI,0.281250,0.000000,0.015625,0.156250,0.015625,0.531250,0.000000,64
KEPAHIANG,0.981818,0.000000,0.000000,0.018182,0.000000,0.000000,0.000000,110
KEPULAUAN ANAMBAS,0.972222,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,36
KEPULAUAN ARU,0.991597,0.000000,0.000000,0.008403,0.000000,0.000000,0.000000,119
KEPULAUAN MENTAWAI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43
KEPULAUAN MERANTI,0.890411,0.000000,0.000000,0.027397,0.000000,0.082192,0.000000,73
KEPULAUAN SANGIHE,0.910180,0.005988,0.005988,0.005988,0.000000,0.047904,0.023952,167
KEPULAUAN SERIBU,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6
KEPULAUAN SULA,0.969925,0.007519,0.000000,0.000000,0.000000,0.022556,0.000000,133
KEPULAUAN TALAUD,0.980392,0.000000,0.000000,0.006536,0.000000,0.006536,0.006536,153
KEPULAUAN YAPEN,0.963964,0.000000,0.000000,0.009009,0.009009,0.018018,0.000000,111
KERINCI,0.951923,0.009615,0.014423,0.009615,0.000000,0.014423,0.000000,208
KETAPANG,0.927711,0.020080,0.008032,0.012048,0.000000,0.032129,0.000000,249
KLATEN,0.842893,0.014963,0.047382,0.049875,0.000000,0.037406,0.007481,401
