,1,2,3,4,5,6,7,Total
PAKPAK BHARAT,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52
PALANGKA RAYA,0.800000,0.000000,0.000000,0.166667,0.000000,0.000000,0.033333,30
PALEMBANG,0.046729,0.028037,0.028037,0.308411,0.000000,0.523364,0.065421,107
PALOPO,0.541667,0.000000,0.000000,0.166667,0.000000,0.291667,0.000000,48
PALU,0.139535,0.069767,0.116279,0.302326,0.000000,0.302326,0.069767,43
PAMEKASAN,0.957672,0.000000,0.000000,0.000000,0.000000,0.042328,0.000000,189
PANDEGLANG,0.982090,0.000000,0.000000,0.008955,0.000000,0.005970,0.002985,335
PANGKAJENE DAN KEPULAUAN,0.922330,0.009709,0.009709,0.038835,0.000000,0.019417,0.000000,103
PANGKAL PINANG,0.083333,0.000000,0.000000,0.416667,0.000000,0.305556,0.194444,36
PANIAI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70
PARE-PARE,0.181818,0.090909,0.045455,0.409091,0.000000,0.227273,0.045455,22
PARIAMAN,0.633803,0.000000,0.056338,0.112676,0.014085,0.140845,0.042254,71
PARIGI MOUTONG,0.980000,0.000000,0.000000,0.015000,0.000000,0.005000,0.000000,200
PASER,0.938931,0.045802,0.000000,0.000000,0.000000,0.015267,0.000000,131
PASURUAN,0.829574,0.000000,0.067669,0.075188,0.000000,0.027569,0.000000,399
PATI,0.906404,0.007389,0.029557,0.032020,0.000000,0.024631,0.000000,406
PAYAKUMBUH,0.578947,0.013158,0.026316,0.236842,0.000000,0.144737,0.000000,76
PEGUNUNGAN BINTANG,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,244
PEKALONGAN,0.665663,0.003012,0.222892,0.090361,0.000000,0.018072,0.000000,332
PEKANBARU,0.051724,0.000000,0.034483,0.500000,0.000000,0.344828,0.068966,58
PELALAWAN,0.966102,0.000000,0.025424,0.008475,0.000000,0.000000,0.000000,118
PEMALANG,0.905405,0.000000,0.018018,0.049550,0.000000,0.027027,0.000000,222
PEMATANG SIANTAR,0.226415,0.018868,0.056604,0.358491,0.000000,0.301887,0.037736,53
PENAJAM PASER UTARA,0.870370,0.000000,0.037037,0.018519,0.000000,0.074074,0.000000,54
PESAWARAN,0.984962,0.000000,0.000000,0.007519,0.000000,0.000000,0.007519,133
PIDIE,0.969904,0.000000,0.001368,0.013680,0.000000,0.012312,0.002736,731
PIDIE JAYA,0.977477,0.000000,0.000000,0.022523,0.000000,0.000000,0.000000,222
PINRANG,0.942308,0.000000,0.000000,0.038462,0.000000,0.019231,0.000000,104
POHUWATO,0.971154,0.000000,0.000000,0.000000,0.000000,0.019231,0.009615,104
POLEWALI MANDAR,0.946108,0.000000,0.000000,0.029940,0.000000,0.023952,0.000000,167
PONOROGO,0.937705,0.000000,0.003279,0.045902,0.000000,0.013115,0.000000,305
PONTIANAK,0.635417,0.000000,0.020833,0.083333,0.000000,0.239583,0.020833,96
POSO,0.935897,0.006410,0.000000,0.025641,0.000000,0.032051,0.000000,156
PRABUMULIH,0.648649,0.000000,0.027027,0.135135,0.000000,0.189189,0.000000,37
PRINGSEWU,0.950495,0.000000,0.009901,0.039604,0.000000,0.000000,0.000000,101
PROBOLINGGO,0.944290,0.000000,0.011142,0.008357,0.000000,0.027855,0.008357,359
PULANG PISAU,0.989899,0.000000,0.000000,0.000000,0.000000,0.010101,0.000000,99
PULAU MOROTAI,0.968750,0.000000,0.015625,0.015625,0.000000,0.000000,0.000000,64
PUNCAK,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80
PUNCAK JAYA,0.996689,0.000000,0.000000,0.000000,0.000000,0.000000,0.003311,302
PURBALINGGA,0.903766,0.000000,0.071130,0.020921,0.000000,0.004184,0.000000,239
PURWAKARTA,0.765625,0.005208,0.098958,0.036458,0.000000,0.078125,0.015625,192
PURWOREJO,0.965587,0.000000,0.010121,0.014170,0.000000,0.008097,0.002024,494
RAJA AMPAT,0.975000,0.000000,0.000000,0.008333,0.000000,0.016667,0.000000,120
REJANG LEBONG,0.897436,0.006410,0.000000,0.044872,0.000000,0.051282,0.000000,156
REMBANG,0.928571,0.003401,0.003401,0.027211,0.010204,0.027211,0.000000,294
ROKAN HILIR,0.940000,0.000000,0.020000,0.020000,0.000000,0.020000,0.000000,150
ROKAN HULU,0.973856,0.000000,0.000000,0.019608,0.000000,0.006536,0.000000,153
ROTE NDAO,0.965909,0.011364,0.000000,0.022727,0.000000,0.000000,0.000000,88
S I A K,0.937500,0.007813,0.031250,0.007813,0.000000,0.015625,0.000000,128
SABANG,0.722222,0.055556,0.000000,0.000000,0.000000,0.222222,0.000000,18
SABU RAIJUA,0.968254,0.000000,0.015873,0.015873,0.000000,0.000000,0.000000,63
SALATIGA,0.318182,0.000000,0.318182,0.181818,0.000000,0.181818,0.000000,22
SAMARINDA,0.188679,0.018868,0.037736,0.301887,0.018868,0.433962,0.000000,53
SAMBAS,0.940217,0.005435,0.000000,0.032609,0.000000,0.021739,0.000000,184
SAMOSIR,0.965812,0.000000,0.000000,0.025641,0.000000,0.000000,0.008547,117
SAMPANG,0.940860,0.021505,0.000000,0.005376,0.000000,0.032258,0.000000,186
SANGGAU,0.927711,0.006024,0.006024,0.018072,0.000000,0.042169,0.000000,166
SARMI,0.976744,0.000000,0.000000,0.011628,0.000000,0.011628,0.000000,86
SAROLANGUN,0.978873,0.000000,0.000000,0.014085,0.000000,0.007042,0.000000,142
SAWAH LUNTO,0.594595,0.054054,0.000000,0.108108,0.000000,0.243243,0.000000,37
SEKADAU,0.986842,0.000000,0.000000,0.013158,0.000000,0.000000,0.000000,76
SELAYAR,0.938272,0.000000,0.000000,0.024691,0.000000,0.037037,0.000000,81
SELUMA,0.994975,0.000000,0.000000,0.000000,0.000000,0.005025,0.000000,199
SEMARANG,0.546117,0.000000,0.201456,0.077670,0.000000,0.169903,0.004854,412
SERAM BAGIAN BARAT,0.989130,0.000000,0.010870,0.000000,0.000000,0.000000,0.000000,92
SERAM BAGIAN TIMUR,0.986014,0.000000,0.000000,0.006993,0.000000,0.000000,0.006993,143
SERANG,0.826316,0.000000,0.097368,0.055263,0.002632,0.013158,0.005263,380
SERDANG BEDAGAI,0.921811,0.000000,0.041152,0.024691,0.000000,0.012346,0.000000,243
SERUYAN,0.990000,0.000000,0.000000,0.000000,0.000000,0.010000,0.000000,100
SIAU TAGULANDANG BIARO,0.988095,0.011905,0.000000,0.000000,0.000000,0.000000,0.000000,84
SIBOLGA,0.470588,0.000000,0.000000,0.235294,0.000000,0.294118,0.000000,17
SIDENRENG RAPPANG,0.933962,0.000000,0.028302,0.037736,0.000000,0.000000,0.000000,106
SIDOARJO,0.392045,0.008523,0.508523,0.053977,0.000000,0.031250,0.005682,352
SIGI,0.974522,0.000000,0.012739,0.000000,0.000000,0.012739,0.000000,157
SIJUNJUNG,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
SIKKA,0.943750,0.000000,0.006250,0.006250,0.000000,0.031250,0.012500,160
SIMALUNGUN,0.861035,0.002725,0.024523,0.032698,0.000000,0.076294,0.002725,367
SIMEULUE,0.942029,0.000000,0.000000,0.007246,0.007246,0.036232,0.007246,138
SINGKAWANG,0.615385,0.000000,0.000000,0.153846,0.000000,0.153846,0.076923,26
SINJAI,0.975000,0.000000,0.000000,0.012500,0.000000,0.012500,0.000000,80
SINTANG,0.965157,0.000000,0.000000,0.006969,0.000000,0.027875,0.000000,287
SITUBONDO,0.926471,0.000000,0.007353,0.051471,0.000000,0.014706,0.000000,136
SLEMAN,0.825581,0.000000,0.011628,0.034884,0.000000,0.127907,0.000000,86
SOLOK,0.461538,0.000000,0.000000,0.230769,0.000000,0.307692,0.000000,13
SOPPENG,0.971429,0.000000,0.000000,0.000000,0.000000,0.028571,0.000000,70
SORONG,0.831325,0.036145,0.000000,0.006024,0.000000,0.120482,0.006024,166
SORONG SELATAN,0.983193,0.000000,0.000000,0.016807,0.000000,0.000000,0.000000,119
SRAGEN,0.966346,0.000000,0.000000,0.014423,0.000000,0.019231,0.000000,208
SUBANG,0.928854,0.000000,0.003953,0.035573,0.000000,0.031621,0.000000,253
SUBULUSSALAM,0.918919,0.000000,0.000000,0.067568,0.000000,0.000000,0.013514,74
SUKABUMI,0.835000,0.002500,0.060000,0.045000,0.000000,0.052500,0.005000,400
SUKAMARA,0.937500,0.000000,0.000000,0.031250,0.000000,0.031250,0.000000,32
SUKOHARJO,0.706587,0.000000,0.113772,0.083832,0.000000,0.095808,0.000000,167
SUMBA BARAT,0.916667,0.050000,0.000000,0.033333,0.000000,0.000000,0.000000,60
SUMBA BARAT DAYA,0.968750,0.000000,0.010417,0.010417,0.000000,0.010417,0.000000,96
SUMBA TENGAH,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43
SUMBA TIMUR,0.967949,0.000000,0.000000,0.006410,0.000000,0.025641,0.000000,156
SUMBAWA,0.939759,0.000000,0.006024,0.000000,0.000000,0.054217,0.000000,166
SUMBAWA BARAT,0.906250,0.078125,0.000000,0.000000,0.000000,0.015625,0.000000,64
SUMEDANG,0.885305,0.000000,0.035842,0.039427,0.000000,0.039427,0.000000,279
SUMENEP,0.939759,0.015060,0.003012,0.018072,0.006024,0.018072,0.000000,332
SUNGAI PENUH,0.739130,0.000000,0.014493,0.159420,0.000000,0.086957,0.000000,69
SUPIORI,0.973684,0.000000,0.000000,0.000000,0.000000,0.026316,0.000000,38
SURABAYA,0.043750,0.037500,0.218750,0.218750,0.006250,0.318750,0.156250,160
SURAKARTA,0.000000,0.000000,0.235294,0.470588,0.000000,0.294118,0.000000,51
TABALONG,0.938931,0.000000,0.000000,0.007634,0.000000,0.053435,0.000000,131
TABANAN,0.939850,0.000000,0.015038,0.022556,0.000000,0.022556,0.000000,133
TAKALAR,0.956989,0.000000,0.010753,0.010753,0.000000,0.021505,0.000000,93
TAMBRAUW,0.980000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,50
TANA TIDUNG,0.869565,0.130435,0.000000,0.000000,0.000000,0.000000,0.000000,23
TANA TORAJA,0.981132,0.000000,0.000000,0.012579,0.000000,0.006289,0.000000,159
TANAH BUMBU,0.840000,0.066667,0.006667,0.033333,0.000000,0.026667,0.026667,150
TANAH LAUT,0.933333,0.014815,0.000000,0.014815,0.000000,0.037037,0.000000,135
TANGERANG,0.380952,0.000000,0.412698,0.092593,0.005291,0.103175,0.005291,378
TANGERANG SELATAN,0.000000,0.000000,0.148148,0.203704,0.000000,0.611111,0.037037,54
TANGGAMUS,0.974820,0.000000,0.000000,0.014388,0.000000,0.010791,0.000000,278
TANJUNG BALAI,0.548387,0.000000,0.000000,0.225806,0.032258,0.161290,0.032258,31
TANJUNG JABUNG BARAT,0.971429,0.000000,0.000000,0.028571,0.000000,0.000000,0.000000,70
TANJUNG JABUNG TIMUR,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93
TANJUNG PINANG,0.166667,0.000000,0.055556,0.111111,0.000000,0.333333,0.333333,18
TAPANULI SELATAN,0.995968,0.000000,0.000000,0.004032,0.000000,0.000000,0.000000,248
TAPANULI TENGAH,0.954802,0.000000,0.000000,0.005650,0.000000,0.039548,0.000000,177
TAPANULI UTARA,0.967078,0.000000,0.000000,0.032922,0.000000,0.000000,0.000000,243
TAPIN,0.969925,0.000000,0.000000,0.007519,0.000000,0.022556,0.000000,133
TARAKAN,0.400000,0.000000,0.150000,0.200000,0.000000,0.000000,0.250000,20
TASIKMALAYA,0.859524,0.000000,0.061905,0.059524,0.000000,0.007143,0.011905,420
TEBING TINGGI,0.028571,0.028571,0.000000,0.257143,0.000000,0.542857,0.142857,35
TEBO,0.990566,0.000000,0.000000,0.000000,0.000000,0.009434,0.000000,106
TEGAL,0.678344,0.003185,0.105096,0.136943,0.000000,0.047771,0.028662,314
TELUK BINTUNI,0.980263,0.000000,0.000000,0.013158,0.000000,0.000000,0.006579,152
TELUK WONDAMA,0.947368,0.000000,0.000000,0.026316,0.000000,0.026316,0.000000,76
TEMANGGUNG,0.930796,0.000000,0.003460,0.027682,0.000000,0.038062,0.000000,289
TERNATE,0.454545,0.025974,0.012987,0.038961,0.000000,0.467532,0.000000,77
TIDORE KEPULAUAN,0.875000,0.000000,0.027778,0.013889,0.013889,0.069444,0.000000,72
TIMOR TENGAH SELATAN,0.958333,0.000000,0.000000,0.004167,0.000000,0.037500,0.000000,240
TIMOR TENGAH UTARA,0.979167,0.005208,0.005208,0.000000,0.000000,0.010417,0.000000,192
TOBA SAMOSIR,0.963115,0.000000,0.000000,0.032787,0.000000,0.004098,0.000000,244
TOJO UNA-UNA,0.991736,0.000000,0.000000,0.008264,0.000000,0.000000,0.000000,121
TOLIKARA,0.996055,0.001972,0.000000,0.000000,0.000000,0.001972,0.000000,507
TOLI-TOLI,0.967033,0.010989,0.000000,0.021978,0.000000,0.000000,0.000000,91
TOMOHON,0.704545,0.022727,0.000000,0.022727,0.000000,0.250000,0.000000,44
TORAJA UTARA,0.940397,0.000000,0.000000,0.033113,0.000000,0.026490,0.000000,151
TRENGGALEK,0.949045,0.000000,0.019108,0.000000,0.000000,0.031847,0.000000,157
TUAL,0.793103,0.000000,0.000000,0.034483,0.000000,0.034483,0.137931,29
TUBAN,0.939024,0.000000,0.000000,0.030488,0.000000,0.027439,0.003049,328
TULANG BAWANG BARAT,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79
TULANGBAWANG,0.986755,0.000000,0.000000,0.013245,0.000000,0.000000,0.000000,151
TULUNGAGUNG,0.804428,0.000000,0.092251,0.055351,0.000000,0.044280,0.003690,271
WAJO,0.926136,0.000000,0.005682,0.045455,0.000000,0.022727,0.000000,176
WAKATOBI,0.840000,0.010000,0.000000,0.050000,0.000000,0.100000,0.000000,100
WAROPEN,0.908046,0.000000,0.000000,0.091954,0.000000,0.000000,0.000000,87
WAY KANAN,0.985714,0.000000,0.000000,0.014286,0.000000,0.000000,0.000000,210
WONOGIRI,0.972789,0.000000,0.006803,0.010204,0.000000,0.010204,0.000000,294
WONOSOBO,0.947170,0.000000,0.015094,0.026415,0.000000,0.011321,0.000000,265
YAHUKIMO,0.998069,0.000000,0.000000,0.001931,0.000000,0.000000,0.000000,518
YALIMO,0.962963,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,27
YOGYAKARTA,0.000000,0.000000,0.000000,0.333333,0.000000,0.666667,0.000000,45
