,Community,,Social,,Professional,,Recreational,,Government,,
BELU,7.000000,2.000000,8.000000,6.000000,2.000000,4.000000,17.000000,3.000000,9.000000,4.000000,
BENER MERIAH,10.000000,3.000000,3.000000,3.000000,0.000000,1.000000,107.000000,7.000000,8.000000,3.000000,
BENGKALIS,22.000000,5.000000,9.000000,6.000000,6.000000,6.000000,412.000000,10.000000,162.000000,10.000000,
BENGKAYANG,15.000000,4.000000,3.000000,3.000000,5.000000,6.000000,20.000000,3.000000,21.000000,7.000000,
BENGKULU,20.000000,5.000000,9.000000,6.000000,5.000000,6.000000,12.000000,2.000000,34.000000,8.000000,
BENGKULU SELATAN,26.000000,5.000000,32.000000,9.000000,0.000000,1.000000,134.000000,7.000000,5.000000,2.000000,
BENGKULU TENGAH,19.000000,5.000000,19.000000,8.000000,42.000000,10.000000,132.000000,7.000000,11.000000,4.000000,
BENGKULU UTARA,57.000000,7.000000,88.000000,10.000000,3.000000,5.000000,180.000000,8.000000,43.000000,9.000000,
BERAU,10.000000,3.000000,2.000000,2.000000,5.000000,6.000000,90.000000,6.000000,14.000000,5.000000,
BIAK NUMFOR,1.000000,1.000000,2.000000,2.000000,0.000000,1.000000,6.000000,1.000000,4.000000,2.000000,
BIMA,56.000000,7.000000,26.000000,9.000000,23.000000,9.000000,142.000000,8.000000,29.000000,8.000000,
BINJAI,14.000000,4.000000,5.000000,4.000000,0.000000,1.000000,10.000000,2.000000,11.000000,4.000000,
BINTAN,40.000000,6.000000,9.000000,6.000000,0.000000,1.000000,201.000000,8.000000,11.000000,4.000000,
BIREUEN,17.000000,4.000000,11.000000,7.000000,6.000000,6.000000,35.000000,4.000000,8.000000,3.000000,
BITUNG,4.000000,2.000000,7.000000,5.000000,0.000000,1.000000,8.000000,2.000000,8.000000,3.000000,
BLITAR,287.000000,10.000000,29.000000,9.000000,12.000000,8.000000,411.000000,10.000000,39.000000,9.000000,
BLORA,468.000000,10.000000,27.000000,9.000000,1281.000000,10.000000,359.000000,10.000000,49.000000,9.000000,
BOALEMO,38.000000,6.000000,3.000000,3.000000,3.000000,5.000000,78.000000,6.000000,20.000000,7.000000,
BOGOR,130.000000,9.000000,85.000000,10.000000,15.000000,9.000000,330.000000,9.000000,72.000000,10.000000,
BOJONEGORO,288.000000,10.000000,19.000000,8.000000,6.000000,6.000000,169.000000,8.000000,59.000000,10.000000,
BOLAANG MONGONDOW,13.000000,4.000000,2.000000,2.000000,2.000000,4.000000,4.000000,1.000000,7.000000,3.000000,
BOLAANG MONGONDOW SELATAN,6.000000,2.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,0.000000,1.000000,
BOLAANG MONGONDOW TIMUR,5.000000,2.000000,0.000000,1.000000,0.000000,1.000000,5.000000,1.000000,5.000000,2.000000,
BOLAANG MONGONDOW UTARA,16.000000,4.000000,0.000000,1.000000,0.000000,1.000000,14.000000,2.000000,8.000000,3.000000,
BOMBANA,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,3.000000,1.000000,3.000000,2.000000,
BONDOWOSO,90.000000,8.000000,10.000000,6.000000,4.000000,5.000000,171.000000,8.000000,31.000000,8.000000,
BONE,428.000000,10.000000,14.000000,7.000000,179.000000,10.000000,131.000000,7.000000,57.000000,10.000000,
BONE BOLANGO,3.000000,1.000000,15.000000,7.000000,0.000000,1.000000,100.000000,6.000000,6.000000,3.000000,
BONTANG,56.000000,7.000000,23.000000,9.000000,6.000000,6.000000,33.000000,4.000000,2.000000,1.000000,
BOVEN DIGOEL,4.000000,2.000000,1.000000,2.000000,0.000000,1.000000,8.000000,2.000000,0.000000,1.000000,
BOYOLALI,2364.000000,10.000000,23.000000,9.000000,54.000000,10.000000,726.000000,10.000000,66.000000,10.000000,
BREBES,465.000000,10.000000,7.000000,5.000000,5.000000,6.000000,467.000000,10.000000,70.000000,10.000000,
BUKITTINGGI,1.000000,1.000000,3.000000,3.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
BULELENG,593.000000,10.000000,22.000000,8.000000,8.000000,7.000000,940.000000,10.000000,13.000000,5.000000,
BULUKUMBA,36.000000,6.000000,7.000000,5.000000,3.000000,5.000000,27.000000,3.000000,8.000000,3.000000,
BULUNGAN,13.000000,4.000000,2.000000,2.000000,1.000000,3.000000,32.000000,4.000000,14.000000,5.000000,
BUNGO,6.000000,2.000000,3.000000,3.000000,5.000000,6.000000,103.000000,7.000000,14.000000,5.000000,
BUOL,61.000000,7.000000,7.000000,5.000000,2.000000,4.000000,19.000000,3.000000,6.000000,3.000000,
BURU,42.000000,6.000000,2.000000,2.000000,16.000000,9.000000,39.000000,4.000000,7.000000,3.000000,
BURU SELATAN,38.000000,6.000000,0.000000,1.000000,0.000000,1.000000,8.000000,2.000000,0.000000,1.000000,
BUTON,9.000000,3.000000,22.000000,8.000000,4.000000,5.000000,49.000000,5.000000,13.000000,5.000000,
BUTON UTARA,3.000000,1.000000,0.000000,1.000000,0.000000,1.000000,6.000000,1.000000,2.000000,1.000000,
CIAMIS,152.000000,9.000000,17.000000,8.000000,8.000000,7.000000,217.000000,9.000000,50.000000,10.000000,
CIANJUR,35.000000,6.000000,14.000000,7.000000,12.000000,8.000000,381.000000,10.000000,45.000000,9.000000,
CILACAP,656.000000,10.000000,10.000000,6.000000,461.000000,10.000000,340.000000,9.000000,29.000000,8.000000,
CILEGON,10.000000,3.000000,13.000000,7.000000,2.000000,4.000000,60.000000,5.000000,34.000000,8.000000,
CIMAHI,8.000000,3.000000,6.000000,5.000000,1.000000,3.000000,43.000000,4.000000,11.000000,4.000000,
CIREBON,113.000000,9.000000,39.000000,10.000000,11.000000,8.000000,231.000000,9.000000,76.000000,10.000000,
D U M A I,3.000000,1.000000,8.000000,6.000000,3.000000,5.000000,127.000000,7.000000,12.000000,5.000000,
DAIRI,79.000000,8.000000,14.000000,7.000000,6.000000,6.000000,15.000000,2.000000,15.000000,5.000000,
DEIYAI,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,
DELI SERDANG,154.000000,9.000000,22.000000,8.000000,7.000000,7.000000,132.000000,7.000000,43.000000,9.000000,
DEMAK,360.000000,10.000000,52.000000,10.000000,250.000000,10.000000,79.000000,6.000000,13.000000,5.000000,
DENPASAR,10.000000,3.000000,18.000000,8.000000,6.000000,6.000000,650.000000,10.000000,22.000000,7.000000,
DEPOK,96.000000,8.000000,59.000000,10.000000,6.000000,6.000000,111.000000,7.000000,52.000000,10.000000,
DOGIYAI,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,0.000000,1.000000,
DOMPU,14.000000,4.000000,5.000000,4.000000,0.000000,1.000000,27.000000,3.000000,6.000000,3.000000,
DONGGALA,66.000000,8.000000,15.000000,7.000000,32.000000,10.000000,123.000000,7.000000,13.000000,5.000000,
EMPAT LAWANG,30.000000,6.000000,3.000000,3.000000,6.000000,6.000000,50.000000,5.000000,10.000000,4.000000,
ENDE,30.000000,6.000000,8.000000,6.000000,4.000000,5.000000,74.000000,6.000000,14.000000,5.000000,
ENREKANG,61.000000,7.000000,4.000000,4.000000,2.000000,4.000000,113.000000,7.000000,20.000000,7.000000,
FAKFAK,3.000000,1.000000,0.000000,1.000000,1.000000,3.000000,33.000000,4.000000,5.000000,2.000000,
