,Community,,Social,,Professional,,Recreational,,Government,,
MADIUN,128.000000,9.000000,40.000000,10.000000,14.000000,9.000000,150.000000,8.000000,22.000000,7.000000,
MAGELANG,546.000000,10.000000,42.000000,10.000000,25.000000,9.000000,784.000000,10.000000,41.000000,9.000000,
MAGETAN,77.000000,8.000000,8.000000,6.000000,0.000000,1.000000,107.000000,7.000000,12.000000,5.000000,
MAJALENGKA,151.000000,9.000000,6.000000,5.000000,5.000000,6.000000,260.000000,9.000000,30.000000,8.000000,
MAJENE,51.000000,7.000000,11.000000,7.000000,25.000000,9.000000,111.000000,7.000000,43.000000,9.000000,
MAKASSAR,92.000000,8.000000,107.000000,10.000000,16.000000,9.000000,23.000000,3.000000,100.000000,10.000000,
MALANG,463.000000,10.000000,115.000000,10.000000,15.000000,9.000000,936.000000,10.000000,81.000000,10.000000,
MALINAU,9.000000,3.000000,4.000000,4.000000,1.000000,3.000000,31.000000,4.000000,3.000000,2.000000,
MALUKU BARAT DAYA,2.000000,1.000000,2.000000,2.000000,4.000000,5.000000,40.000000,4.000000,2.000000,1.000000,
MALUKU TENGAH,19.000000,5.000000,2.000000,2.000000,0.000000,1.000000,78.000000,6.000000,60.000000,10.000000,
MALUKU TENGGARA,71.000000,8.000000,6.000000,5.000000,2.000000,4.000000,18.000000,3.000000,4.000000,2.000000,
MALUKU TENGGARA BARAT,11.000000,3.000000,1.000000,2.000000,1.000000,3.000000,21.000000,3.000000,3.000000,2.000000,
MAMASA,24.000000,5.000000,16.000000,8.000000,4.000000,5.000000,145.000000,8.000000,14.000000,5.000000,
MAMBERAMO RAYA,1.000000,1.000000,3.000000,3.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
MAMBERAMO TENGAH,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
MAMUJU,61.000000,7.000000,7.000000,5.000000,1.000000,3.000000,242.000000,9.000000,70.000000,10.000000,
MAMUJU UTARA,62.000000,7.000000,5.000000,4.000000,13.000000,8.000000,102.000000,7.000000,10.000000,4.000000,
MANADO,41.000000,6.000000,16.000000,8.000000,12.000000,8.000000,30.000000,3.000000,30.000000,8.000000,
MANDAILING NATAL,76.000000,8.000000,9.000000,6.000000,0.000000,1.000000,133.000000,7.000000,14.000000,5.000000,
MANGGARAI,0.000000,1.000000,4.000000,4.000000,0.000000,1.000000,14.000000,2.000000,15.000000,5.000000,
MANGGARAI BARAT,10.000000,3.000000,1.000000,2.000000,1.000000,3.000000,10.000000,2.000000,2.000000,1.000000,
MANGGARAI TIMUR,11.000000,3.000000,0.000000,1.000000,0.000000,1.000000,24.000000,3.000000,4.000000,2.000000,
MANOKWARI,66.000000,8.000000,4.000000,4.000000,15.000000,9.000000,71.000000,6.000000,16.000000,6.000000,
MAPPI,3.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,1.000000,1.000000,
MAROS,29.000000,5.000000,10.000000,6.000000,7.000000,7.000000,67.000000,5.000000,14.000000,5.000000,
MATARAM,42.000000,6.000000,39.000000,10.000000,6.000000,6.000000,107.000000,7.000000,19.000000,7.000000,
MAYBRAT,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
MEDAN,98.000000,8.000000,30.000000,9.000000,7.000000,7.000000,45.000000,4.000000,99.000000,10.000000,
MELAWI,8.000000,3.000000,4.000000,4.000000,3.000000,5.000000,72.000000,6.000000,15.000000,5.000000,
MERANGIN,73.000000,8.000000,16.000000,8.000000,1.000000,3.000000,170.000000,8.000000,28.000000,8.000000,
MERAUKE,33.000000,6.000000,15.000000,7.000000,8.000000,7.000000,38.000000,4.000000,12.000000,5.000000,
MESUJI,13.000000,4.000000,0.000000,1.000000,1.000000,3.000000,19.000000,3.000000,6.000000,3.000000,
METRO,44.000000,7.000000,1.000000,2.000000,10.000000,8.000000,46.000000,4.000000,11.000000,4.000000,
MIMIKA,7.000000,2.000000,3.000000,3.000000,7.000000,7.000000,37.000000,4.000000,6.000000,3.000000,
MINAHASA,242.000000,9.000000,920.000000,10.000000,22.000000,9.000000,260.000000,9.000000,51.000000,10.000000,
MINAHASA SELATAN,89.000000,8.000000,57.000000,10.000000,0.000000,1.000000,24.000000,3.000000,16.000000,6.000000,
MINAHASA TENGGARA,15.000000,4.000000,13.000000,7.000000,0.000000,1.000000,63.000000,5.000000,0.000000,1.000000,
MINAHASA UTARA,39.000000,6.000000,105.000000,10.000000,3.000000,5.000000,225.000000,9.000000,17.000000,6.000000,
MOJOKERTO,225.000000,9.000000,51.000000,10.000000,17.000000,9.000000,125.000000,7.000000,51.000000,10.000000,
MOROWALI,83.000000,8.000000,5.000000,4.000000,4.000000,5.000000,115.000000,7.000000,32.000000,8.000000,
MUARA ENIM,33.000000,6.000000,20.000000,8.000000,3.000000,5.000000,113.000000,7.000000,46.000000,9.000000,
MUARO JAMBI,11.000000,3.000000,1.000000,2.000000,2.000000,4.000000,99.000000,6.000000,5.000000,2.000000,
MUKOMUKO,48.000000,7.000000,2.000000,2.000000,1.000000,3.000000,250.000000,9.000000,18.000000,6.000000,
MUNA,28.000000,5.000000,7.000000,5.000000,3.000000,5.000000,38.000000,4.000000,17.000000,6.000000,
MURUNG RAYA,13.000000,4.000000,2.000000,2.000000,6.000000,6.000000,10.000000,2.000000,10.000000,4.000000,
MUSI BANYUASIN,38.000000,6.000000,1.000000,2.000000,1.000000,3.000000,137.000000,8.000000,14.000000,5.000000,
MUSI RAWAS,19.000000,5.000000,3.000000,3.000000,9.000000,8.000000,249.000000,9.000000,26.000000,8.000000,
NABIRE,11.000000,3.000000,5.000000,4.000000,2.000000,4.000000,9.000000,2.000000,4.000000,2.000000,
NAGAN RAYA,5.000000,2.000000,2.000000,2.000000,3.000000,5.000000,32.000000,4.000000,8.000000,3.000000,
NAGEKEO,71.000000,8.000000,6.000000,5.000000,0.000000,1.000000,9.000000,2.000000,2.000000,1.000000,
NATUNA,11.000000,3.000000,1.000000,2.000000,8.000000,7.000000,193.000000,8.000000,27.000000,8.000000,
NDUGA,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
NGADA,28.000000,5.000000,4.000000,4.000000,27.000000,10.000000,34.000000,4.000000,9.000000,4.000000,
NGANJUK,117.000000,9.000000,14.000000,7.000000,12.000000,8.000000,136.000000,8.000000,25.000000,8.000000,
NGAWI,54.000000,7.000000,13.000000,7.000000,11.000000,8.000000,101.000000,7.000000,21.000000,7.000000,
NIAS,1.000000,1.000000,1.000000,2.000000,12.000000,8.000000,22.000000,3.000000,2.000000,1.000000,
NIAS BARAT,3.000000,1.000000,1.000000,2.000000,2.000000,4.000000,22.000000,3.000000,3.000000,2.000000,
NIAS SELATAN,7.000000,2.000000,5.000000,4.000000,2.000000,4.000000,47.000000,4.000000,7.000000,3.000000,
NIAS UTARA,13.000000,4.000000,0.000000,1.000000,0.000000,1.000000,54.000000,5.000000,7.000000,3.000000,
NUNUKAN,19.000000,5.000000,12.000000,7.000000,3.000000,5.000000,27.000000,3.000000,11.000000,4.000000,
OGAN ILIR,24.000000,5.000000,4.000000,4.000000,5.000000,6.000000,71.000000,6.000000,12.000000,5.000000,
OGAN KOMERING ILIR,41.000000,6.000000,9.000000,6.000000,3.000000,5.000000,126.000000,7.000000,22.000000,7.000000,
OGAN KOMERING ULU,37.000000,6.000000,10.000000,6.000000,7.000000,7.000000,73.000000,6.000000,25.000000,8.000000,
OGAN KOMERING ULU SELATAN,7.000000,2.000000,7.000000,5.000000,5.000000,6.000000,251.000000,9.000000,20.000000,7.000000,
OGAN KOMERING ULU TIMUR,77.000000,8.000000,5.000000,4.000000,4.000000,5.000000,525.000000,10.000000,19.000000,7.000000,
PACITAN,92.000000,8.000000,8.000000,6.000000,2.000000,4.000000,167.000000,8.000000,8.000000,3.000000,
PADANG,67.000000,8.000000,18.000000,8.000000,13.000000,8.000000,62.000000,5.000000,17.000000,6.000000,
PADANG LAWAS,28.000000,5.000000,0.000000,1.000000,2.000000,4.000000,75.000000,6.000000,28.000000,8.000000,
PADANG LAWAS UTARA,10.000000,3.000000,2.000000,2.000000,2.000000,4.000000,69.000000,5.000000,12.000000,5.000000,
PADANG PANJANG,0.000000,1.000000,3.000000,3.000000,0.000000,1.000000,4.000000,1.000000,7.000000,3.000000,
PADANGSIDIMPUAN,11.000000,3.000000,6.000000,5.000000,1.000000,3.000000,7.000000,1.000000,7.000000,3.000000,
PAGAR ALAM,15.000000,4.000000,1.000000,2.000000,0.000000,1.000000,13.000000,2.000000,15.000000,5.000000,
PAKPAK BHARAT,6.000000,2.000000,0.000000,1.000000,0.000000,1.000000,15.000000,2.000000,9.000000,4.000000,
PALANGKA RAYA,9.000000,3.000000,8.000000,6.000000,0.000000,1.000000,17.000000,3.000000,15.000000,5.000000,
PALEMBANG,37.000000,6.000000,108.000000,10.000000,10.000000,8.000000,47.000000,4.000000,84.000000,10.000000,
PALOPO,22.000000,5.000000,9.000000,6.000000,8.000000,7.000000,42.000000,4.000000,19.000000,7.000000,
PALU,55.000000,7.000000,40.000000,10.000000,3.000000,5.000000,66.000000,5.000000,26.000000,8.000000,
PAMEKASAN,111.000000,8.000000,21.000000,8.000000,25.000000,9.000000,143.000000,8.000000,8.000000,3.000000,
PANDEGLANG,46.000000,7.000000,17.000000,8.000000,5.000000,6.000000,232.000000,9.000000,31.000000,8.000000,
PANGKAJENE DAN KEPULAUAN,31.000000,6.000000,4.000000,4.000000,0.000000,1.000000,11.000000,2.000000,26.000000,8.000000,
PANGKAL PINANG,21.000000,5.000000,9.000000,6.000000,4.000000,5.000000,29.000000,3.000000,22.000000,7.000000,
PANIAI,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,9.000000,2.000000,4.000000,2.000000,
PARE-PARE,31.000000,6.000000,8.000000,6.000000,0.000000,1.000000,9.000000,2.000000,7.000000,3.000000,
PARIAMAN,13.000000,4.000000,2.000000,2.000000,2.000000,4.000000,25.000000,3.000000,6.000000,3.000000,
PARIGI MOUTONG,146.000000,9.000000,7.000000,5.000000,20.000000,9.000000,363.000000,10.000000,35.000000,9.000000,
PASER,25.000000,5.000000,9.000000,6.000000,5.000000,6.000000,106.000000,7.000000,9.000000,4.000000,
PASURUAN,304.000000,10.000000,37.000000,9.000000,91.000000,10.000000,418.000000,10.000000,51.000000,10.000000,
PATI,223.000000,9.000000,11.000000,7.000000,10.000000,8.000000,103.000000,7.000000,16.000000,6.000000,
PAYAKUMBUH,87.000000,8.000000,10.000000,6.000000,1.000000,3.000000,67.000000,5.000000,16.000000,6.000000,
PEGUNUNGAN BINTANG,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
PEKALONGAN,675.000000,10.000000,23.000000,9.000000,139.000000,10.000000,258.000000,9.000000,40.000000,9.000000,
PEKANBARU,27.000000,5.000000,13.000000,7.000000,10.000000,8.000000,62.000000,5.000000,31.000000,8.000000,
PELALAWAN,21.000000,5.000000,2.000000,2.000000,6.000000,6.000000,200.000000,8.000000,13.000000,5.000000,
PEMALANG,270.000000,10.000000,22.000000,8.000000,12.000000,8.000000,174.000000,8.000000,12.000000,5.000000,
PEMATANG SIANTAR,48.000000,7.000000,7.000000,5.000000,4.000000,5.000000,70.000000,5.000000,16.000000,6.000000,
PENAJAM PASER UTARA,16.000000,4.000000,8.000000,6.000000,6.000000,6.000000,46.000000,4.000000,13.000000,5.000000,
PESAWARAN,203.000000,9.000000,123.000000,10.000000,21.000000,9.000000,104.000000,7.000000,30.000000,8.000000,
PIDIE,6.000000,2.000000,8.000000,6.000000,5.000000,6.000000,98.000000,6.000000,17.000000,6.000000,
PIDIE JAYA,3.000000,1.000000,3.000000,3.000000,2.000000,4.000000,14.000000,2.000000,2.000000,1.000000,
PINRANG,61.000000,7.000000,8.000000,6.000000,2.000000,4.000000,56.000000,5.000000,38.000000,9.000000,
POHUWATO,12.000000,4.000000,1.000000,2.000000,0.000000,1.000000,72.000000,6.000000,8.000000,3.000000,
POLEWALI MANDAR,34.000000,6.000000,10.000000,6.000000,4.000000,5.000000,159.000000,8.000000,18.000000,6.000000,
PONOROGO,399.000000,10.000000,28.000000,9.000000,7.000000,7.000000,310.000000,9.000000,9.000000,4.000000,
PONTIANAK,19.000000,5.000000,40.000000,10.000000,80.000000,10.000000,50.000000,5.000000,28.000000,8.000000,
POSO,115.000000,9.000000,20.000000,8.000000,16.000000,9.000000,97.000000,6.000000,31.000000,8.000000,
PRABUMULIH,8.000000,3.000000,3.000000,3.000000,15.000000,9.000000,14.000000,2.000000,23.000000,7.000000,
PRINGSEWU,138.000000,9.000000,10.000000,6.000000,45.000000,10.000000,171.000000,8.000000,12.000000,5.000000,
PROBOLINGGO,111.000000,8.000000,24.000000,9.000000,21.000000,9.000000,143.000000,8.000000,41.000000,9.000000,
PULANG PISAU,9.000000,3.000000,0.000000,1.000000,1.000000,3.000000,54.000000,5.000000,6.000000,3.000000,
PULAU MOROTAI,4.000000,2.000000,0.000000,1.000000,1.000000,3.000000,17.000000,3.000000,0.000000,1.000000,
PUNCAK,1.000000,1.000000,1.000000,2.000000,3.000000,5.000000,1.000000,1.000000,0.000000,1.000000,
PUNCAK JAYA,21.000000,5.000000,2.000000,2.000000,3.000000,5.000000,2.000000,1.000000,2.000000,1.000000,
PURBALINGGA,470.000000,10.000000,26.000000,9.000000,60.000000,10.000000,443.000000,10.000000,18.000000,6.000000,
PURWAKARTA,39.000000,6.000000,18.000000,8.000000,10.000000,8.000000,203.000000,9.000000,34.000000,8.000000,
PURWOREJO,776.000000,10.000000,27.000000,9.000000,165.000000,10.000000,557.000000,10.000000,27.000000,8.000000,
RAJA AMPAT,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,
REJANG LEBONG,7.000000,2.000000,26.000000,9.000000,31.000000,10.000000,208.000000,9.000000,24.000000,7.000000,
REMBANG,184.000000,9.000000,13.000000,7.000000,68.000000,10.000000,72.000000,6.000000,18.000000,6.000000,
ROKAN HILIR,69.000000,8.000000,9.000000,6.000000,4.000000,5.000000,149.000000,8.000000,29.000000,8.000000,
ROKAN HULU,53.000000,7.000000,6.000000,5.000000,2.000000,4.000000,188.000000,8.000000,21.000000,7.000000,
ROTE NDAO,8.000000,3.000000,0.000000,1.000000,0.000000,1.000000,43.000000,4.000000,8.000000,3.000000,
S I A K,44.000000,7.000000,3.000000,3.000000,3.000000,5.000000,101.000000,7.000000,19.000000,7.000000,
SABANG,0.000000,1.000000,1.000000,2.000000,0.000000,1.000000,2.000000,1.000000,2.000000,1.000000,
SABU RAIJUA,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,16.000000,2.000000,2.000000,1.000000,
SALATIGA,34.000000,6.000000,20.000000,8.000000,52.000000,10.000000,31.000000,4.000000,18.000000,6.000000,
SAMARINDA,107.000000,8.000000,96.000000,10.000000,40.000000,10.000000,135.000000,8.000000,23.000000,7.000000,
SAMBAS,6.000000,2.000000,4.000000,4.000000,2.000000,4.000000,169.000000,8.000000,38.000000,9.000000,
SAMOSIR,7.000000,2.000000,0.000000,1.000000,2.000000,4.000000,84.000000,6.000000,17.000000,6.000000,
SAMPANG,47.000000,7.000000,6.000000,5.000000,2.000000,4.000000,71.000000,6.000000,28.000000,8.000000,
SANGGAU,4.000000,2.000000,5.000000,4.000000,2.000000,4.000000,109.000000,7.000000,20.000000,7.000000,
SARMI,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,6.000000,1.000000,0.000000,1.000000,
SAROLANGUN,20.000000,5.000000,4.000000,4.000000,6.000000,6.000000,47.000000,4.000000,12.000000,5.000000,
SAWAH LUNTO,53.000000,7.000000,4.000000,4.000000,2.000000,4.000000,24.000000,3.000000,28.000000,8.000000,
SEKADAU,1.000000,1.000000,1.000000,2.000000,1.000000,3.000000,40.000000,4.000000,2.000000,1.000000,
SELAYAR,20.000000,5.000000,0.000000,1.000000,0.000000,1.000000,17.000000,3.000000,16.000000,6.000000,
SELUMA,25.000000,5.000000,30.000000,9.000000,4.000000,5.000000,118.000000,7.000000,19.000000,7.000000,
SEMARANG,823.000000,10.000000,155.000000,10.000000,157.000000,10.000000,664.000000,10.000000,61.000000,10.000000,
SERAM BAGIAN BARAT,102.000000,8.000000,56.000000,10.000000,114.000000,10.000000,87.000000,6.000000,8.000000,3.000000,
SERAM BAGIAN TIMUR,28.000000,5.000000,0.000000,1.000000,0.000000,1.000000,5.000000,1.000000,5.000000,2.000000,
SERANG,100.000000,8.000000,46.000000,10.000000,66.000000,10.000000,466.000000,10.000000,130.000000,10.000000,
SERDANG BEDAGAI,165.000000,9.000000,16.000000,8.000000,73.000000,10.000000,150.000000,8.000000,35.000000,9.000000,
SERUYAN,9.000000,3.000000,2.000000,2.000000,0.000000,1.000000,12.000000,2.000000,5.000000,2.000000,
SIAU TAGULANDANG BIARO,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
SIBOLGA,8.000000,3.000000,5.000000,4.000000,0.000000,1.000000,5.000000,1.000000,3.000000,2.000000,
SIDENRENG RAPPANG,6.000000,2.000000,2.000000,2.000000,0.000000,1.000000,31.000000,4.000000,8.000000,3.000000,
SIDOARJO,567.000000,10.000000,85.000000,10.000000,11.000000,8.000000,59.000000,5.000000,35.000000,9.000000,
SIGI,84.000000,8.000000,14.000000,7.000000,8.000000,7.000000,138.000000,8.000000,11.000000,4.000000,
SIJUNJUNG,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
SIKKA,4.000000,2.000000,8.000000,6.000000,0.000000,1.000000,30.000000,3.000000,34.000000,8.000000,
SIMALUNGUN,61.000000,7.000000,100.000000,10.000000,7.000000,7.000000,1070.000000,10.000000,70.000000,10.000000,
SIMEULUE,5.000000,2.000000,2.000000,2.000000,1.000000,3.000000,52.000000,5.000000,2.000000,1.000000,
SINGKAWANG,13.000000,4.000000,5.000000,4.000000,1.000000,3.000000,10.000000,2.000000,19.000000,7.000000,
SINJAI,20.000000,5.000000,7.000000,5.000000,0.000000,1.000000,37.000000,4.000000,11.000000,4.000000,
SINTANG,63.000000,7.000000,4.000000,4.000000,2.000000,4.000000,50.000000,5.000000,15.000000,5.000000,
SITUBONDO,118.000000,9.000000,36.000000,9.000000,6.000000,6.000000,122.000000,7.000000,21.000000,7.000000,
SLEMAN,300.000000,10.000000,59.000000,10.000000,17.000000,9.000000,210.000000,9.000000,24.000000,7.000000,
SOLOK,8.000000,3.000000,6.000000,5.000000,0.000000,1.000000,15.000000,2.000000,9.000000,4.000000,
SOPPENG,59.000000,7.000000,6.000000,5.000000,44.000000,10.000000,107.000000,7.000000,24.000000,7.000000,
SORONG,60.000000,7.000000,14.000000,7.000000,16.000000,9.000000,27.000000,3.000000,4.000000,2.000000,
SORONG SELATAN,9.000000,3.000000,1.000000,2.000000,0.000000,1.000000,17.000000,3.000000,1.000000,1.000000,
SRAGEN,296.000000,10.000000,16.000000,8.000000,9.000000,8.000000,105.000000,7.000000,31.000000,8.000000,
SUBANG,77.000000,8.000000,22.000000,8.000000,17.000000,9.000000,305.000000,9.000000,76.000000,10.000000,
SUBULUSSALAM,22.000000,5.000000,1.000000,2.000000,1.000000,3.000000,14.000000,2.000000,3.000000,2.000000,
SUKABUMI,76.000000,8.000000,45.000000,10.000000,11.000000,8.000000,438.000000,10.000000,64.000000,10.000000,
SUKAMARA,11.000000,3.000000,0.000000,1.000000,1.000000,3.000000,7.000000,1.000000,5.000000,2.000000,
SUKOHARJO,120.000000,9.000000,37.000000,9.000000,5.000000,6.000000,286.000000,9.000000,25.000000,8.000000,
SUMBA BARAT,5.000000,2.000000,5.000000,4.000000,24.000000,9.000000,24.000000,3.000000,19.000000,7.000000,
SUMBA BARAT DAYA,6.000000,2.000000,2.000000,2.000000,0.000000,1.000000,5.000000,1.000000,3.000000,2.000000,
SUMBA TENGAH,12.000000,4.000000,3.000000,3.000000,2.000000,4.000000,4.000000,1.000000,8.000000,3.000000,
SUMBA TIMUR,4.000000,2.000000,2.000000,2.000000,0.000000,1.000000,6.000000,1.000000,7.000000,3.000000,
SUMBAWA,52.000000,7.000000,12.000000,7.000000,3.000000,5.000000,164.000000,8.000000,50.000000,10.000000,
SUMBAWA BARAT,13.000000,4.000000,1.000000,2.000000,3.000000,5.000000,80.000000,6.000000,44.000000,9.000000,
SUMEDANG,47.000000,7.000000,16.000000,8.000000,16.000000,9.000000,344.000000,9.000000,32.000000,8.000000,
SUMENEP,292.000000,10.000000,41.000000,10.000000,12.000000,8.000000,693.000000,10.000000,59.000000,10.000000,
SUNGAI PENUH,9.000000,3.000000,6.000000,5.000000,1.000000,3.000000,112.000000,7.000000,4.000000,2.000000,
SUPIORI,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,
SURABAYA,91.000000,8.000000,118.000000,10.000000,12.000000,8.000000,50.000000,5.000000,62.000000,10.000000,
SURAKARTA,30.000000,6.000000,12.000000,7.000000,7.000000,7.000000,64.000000,5.000000,16.000000,6.000000,
TABALONG,5.000000,2.000000,6.000000,5.000000,2.000000,4.000000,79.000000,6.000000,19.000000,7.000000,
TABANAN,118.000000,9.000000,5.000000,4.000000,448.000000,10.000000,797.000000,10.000000,12.000000,5.000000,
TAKALAR,41.000000,6.000000,5.000000,4.000000,7.000000,7.000000,27.000000,3.000000,31.000000,8.000000,
TAMBRAUW,2.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,
TANA TIDUNG,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,47.000000,4.000000,1.000000,1.000000,
TANA TORAJA,29.000000,5.000000,2.000000,2.000000,2.000000,4.000000,5.000000,1.000000,18.000000,6.000000,
TANAH BUMBU,10.000000,3.000000,4.000000,4.000000,2.000000,4.000000,71.000000,6.000000,15.000000,5.000000,
TANAH LAUT,12.000000,4.000000,3.000000,3.000000,2.000000,4.000000,282.000000,9.000000,26.000000,8.000000,
TANGERANG,167.000000,9.000000,67.000000,10.000000,96.000000,10.000000,405.000000,10.000000,77.000000,10.000000,
TANGERANG SELATAN,117.000000,9.000000,47.000000,10.000000,1.000000,3.000000,85.000000,6.000000,9.000000,4.000000,
TANGGAMUS,111.000000,8.000000,2.000000,2.000000,4.000000,5.000000,274.000000,9.000000,21.000000,7.000000,
TANJUNG BALAI,10.000000,3.000000,22.000000,8.000000,1.000000,3.000000,64.000000,5.000000,23.000000,7.000000,
TANJUNG JABUNG BARAT,15.000000,4.000000,5.000000,4.000000,9.000000,8.000000,112.000000,7.000000,35.000000,9.000000,
TANJUNG JABUNG TIMUR,9.000000,3.000000,1.000000,2.000000,1.000000,3.000000,250.000000,9.000000,13.000000,5.000000,
TANJUNG PINANG,7.000000,2.000000,3.000000,3.000000,1.000000,3.000000,17.000000,3.000000,5.000000,2.000000,
TAPANULI SELATAN,107.000000,8.000000,1.000000,2.000000,70.000000,10.000000,279.000000,9.000000,12.000000,5.000000,
TAPANULI TENGAH,128.000000,9.000000,31.000000,9.000000,5.000000,6.000000,99.000000,6.000000,24.000000,7.000000,
TAPANULI UTARA,196.000000,9.000000,1.000000,2.000000,6.000000,6.000000,452.000000,10.000000,19.000000,7.000000,
TAPIN,2.000000,1.000000,7.000000,5.000000,0.000000,1.000000,18.000000,3.000000,1.000000,1.000000,
TARAKAN,2.000000,1.000000,4.000000,4.000000,0.000000,1.000000,6.000000,1.000000,0.000000,1.000000,
TASIKMALAYA,206.000000,9.000000,66.000000,10.000000,46.000000,10.000000,305.000000,9.000000,79.000000,10.000000,
TEBING TINGGI,5.000000,2.000000,4.000000,4.000000,0.000000,1.000000,70.000000,5.000000,14.000000,5.000000,
TEBO,15.000000,4.000000,0.000000,1.000000,2.000000,4.000000,54.000000,5.000000,8.000000,3.000000,
TEGAL,627.000000,10.000000,26.000000,9.000000,15.000000,9.000000,134.000000,7.000000,38.000000,9.000000,
TELUK BINTUNI,11.000000,3.000000,3.000000,3.000000,0.000000,1.000000,10.000000,2.000000,6.000000,3.000000,
TELUK WONDAMA,12.000000,4.000000,1.000000,2.000000,0.000000,1.000000,14.000000,2.000000,0.000000,1.000000,
TEMANGGUNG,478.000000,10.000000,35.000000,9.000000,662.000000,10.000000,990.000000,10.000000,130.000000,10.000000,
TERNATE,33.000000,6.000000,7.000000,5.000000,7.000000,7.000000,46.000000,4.000000,21.000000,7.000000,
TIDORE KEPULAUAN,8.000000,3.000000,2.000000,2.000000,1.000000,3.000000,13.000000,2.000000,1.000000,1.000000,
TIMOR TENGAH SELATAN,4.000000,2.000000,6.000000,5.000000,2.000000,4.000000,26.000000,3.000000,24.000000,7.000000,
TIMOR TENGAH UTARA,48.000000,7.000000,6.000000,5.000000,5.000000,6.000000,22.000000,3.000000,38.000000,9.000000,
TOBA SAMOSIR,30.000000,6.000000,2.000000,2.000000,6.000000,6.000000,59.000000,5.000000,16.000000,6.000000,
TOJO UNA-UNA,29.000000,5.000000,7.000000,5.000000,3.000000,5.000000,68.000000,5.000000,1.000000,1.000000,
TOLIKARA,14.000000,4.000000,4.000000,4.000000,6.000000,6.000000,6.000000,1.000000,6.000000,3.000000,
TOLI-TOLI,69.000000,8.000000,14.000000,7.000000,4.000000,5.000000,167.000000,8.000000,10.000000,4.000000,
TOMOHON,1.000000,1.000000,4.000000,4.000000,1.000000,3.000000,501.000000,10.000000,0.000000,1.000000,
TORAJA UTARA,27.000000,5.000000,5.000000,4.000000,5.000000,6.000000,16.000000,2.000000,15.000000,5.000000,
TRENGGALEK,177.000000,9.000000,15.000000,7.000000,3.000000,5.000000,282.000000,9.000000,13.000000,5.000000,
TUAL,7.000000,2.000000,2.000000,2.000000,2.000000,4.000000,4.000000,1.000000,3.000000,2.000000,
TUBAN,177.000000,9.000000,11.000000,7.000000,3.000000,5.000000,93.000000,6.000000,15.000000,5.000000,
TULANG BAWANG BARAT,25.000000,5.000000,2.000000,2.000000,2.000000,4.000000,33.000000,4.000000,16.000000,6.000000,
TULANGBAWANG,121.000000,9.000000,3.000000,3.000000,7.000000,7.000000,93.000000,6.000000,10.000000,4.000000,
TULUNGAGUNG,376.000000,10.000000,23.000000,9.000000,7.000000,7.000000,394.000000,10.000000,11.000000,4.000000,
WAJO,43.000000,7.000000,0.000000,1.000000,0.000000,1.000000,15.000000,2.000000,20.000000,7.000000,
WAKATOBI,8.000000,3.000000,6.000000,5.000000,8.000000,7.000000,12.000000,2.000000,9.000000,4.000000,
WAROPEN,6.000000,2.000000,1.000000,2.000000,1.000000,3.000000,14.000000,2.000000,4.000000,2.000000,
WAY KANAN,132.000000,9.000000,11.000000,7.000000,115.000000,10.000000,281.000000,9.000000,12.000000,5.000000,
WONOGIRI,62.000000,7.000000,11.000000,7.000000,11.000000,8.000000,461.000000,10.000000,13.000000,5.000000,
WONOSOBO,639.000000,10.000000,11.000000,7.000000,16.000000,9.000000,1526.000000,10.000000,18.000000,6.000000,
YAHUKIMO,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2.000000,1.000000,4.000000,2.000000,
YALIMO,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,
YOGYAKARTA,108.000000,8.000000,32.000000,9.000000,22.000000,9.000000,113.000000,7.000000,26.000000,8.000000,

 
 ,Community,,Social,,Professional,,Recreational,,Government,,
Scoring,Min 1,Max 1,Min 2,Max 2,Min 3,Max 3,Min 4,Max 4,Min 5,Max 5,
1,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,2.000000,
